University link,Kind of university,CCPA or CPRA,FERPA,GDPR,DNSMPI,Word length,Reading level,Sentiment index
https://westcoastuniversity.edu/,Private For Profit,0,0,0,0,2276,28.67,0.10097020626432392
https://plazacollege.edu/,Private For Profit,0,0,0,0,564,37.13,0.029392446633825946
https://americancareercollege.edu/,Private For Profit,0,0,0,0,999,15.44,0.04361732644865175
https://an.edu/,Private For Profit,0,0,0,0,893,32.94,0.06440281030444965
https://www.phoenix.edu/,Private For Profit,1,1,0,1,10880,33.24,0.07874318074428327
https://www.ecpi.edu/,Private For Profit,0,0,1,0,1464,38.55,0.05649659863945579
https://www.calmu.edu/,Private For Profit,0,0,0,0,383,55.34,0.05847107438016528
https://www.cw.edu/,Private For Profit,0,1,0,0,1378,39.67,0.0767239623121976
https://www.columbiasouthern.edu/,Private For Profit,1,1,1,0,7816,28.98,0.0828049401578814
https://www.eaglegatecollege.edu/,Private For Profit,1,0,0,0,2180,26.64,0.05486555697823304
https://www.ftc.edu/,Private For Profit,0,0,0,0,371,44.14,-0.004444444444444445
https://www.fnu.edu/,Private For Profit,1,1,0,0,3193,17.47,0.04967496392496392
https://www.fortis.edu/,Private For Profit,0,0,0,0,1451,35.81,0.05093502593502594
https://post.edu/,Private For Profit,1,1,1,0,9435,32.63,0.06366416834899095
https://www.uat.edu/,Private For Profit,0,1,0,0,1473,38.25,0.08017771701982228
https://www.usuniversity.edu/,Private For Profit,1,1,1,1,14071,28.91,0.05289561798745482
https://www.uei.edu/,Private For Profit,1,0,0,1,6079,34.39,0.06979924689635433
https://www.sjvc.edu/,Private For Profit,0,0,0,1,5481,28.67,0.057336915957605594
https://www.lafilm.edu/,Private For Profit,0,1,0,1,8098,34.19,0.052211100643743104
https://www.cnsu.edu/,Private For Profit,0,0,0,0,3559,41.84,0.07020887857389758
https://chartercollege.edu/locations/california/,Private For Profit,1,0,0,1,4379,28.88,0.058618691810472606
https://newschoolarch.edu/,Private For Profit,0,0,0,0,2180,40.38,0.08068707182784851
https://plattcollege.edu/,Private For Profit,0,0,0,0,605,40.28,0.05775862068965519
https://www.sullivan.edu/,Private For Profit,0,0,0,0,1165,39.87,0.09546130952380953
https://www.nationalparalegal.edu/,Private For Profit,0,1,0,0,908,39.37,0.1490079365079365
https://obc.edu/,Private For Profit,0,0,0,0,850,40.89,0.08168443192028098
https://usa.sae.edu/,Private For Profit,1,0,0,0,7609,45.69,0.09653397658679347
https://carrington.edu/,Private For Profit,0,0,0,1,5994,28.37,0.06185909007337579
https://fidm.edu/,Private For Profit,1,0,0,1,5701,37.23,0.048609619286311016
https://www.foxcollege.edu/,Private For Profit,0,0,0,0,466,45.56,0.10742063492063493
https://www.icom.edu/,Private For Profit,1,1,0,0,11532,45.8,0.11231068829853029
https://www.mildred-elley.edu/,Private For Profit,0,1,0,0,975,24.61,0.09452635599694423
https://www.monroeu.edu/,Private For Profit,0,0,0,0,1523,38.86,0.18779266251955334
https://www.national.edu/,Private For Profit,0,0,0,0,398,29.38,0.08913690476190476
https://www.neumont.edu/,Private For Profit,0,1,0,0,147,24.88,0.090625
https://www.nwciowa.edu/,Private For Profit,0,0,0,0,984,49.96,0.010798701298701297
https://www.pacificcollege.edu/,Private For Profit,0,0,0,0,1171,41.09,0.08587004212004212
https://www.paier.edu/,Private For Profit,0,0,0,0,973,43.73,0.0769568866507642
https://www.penncotech.edu/,Private For Profit,0,0,0,0,1450,52.6,0.12602771823645612
https://www.pcitraining.edu/,Private For Profit,0,0,0,0,1145,40.79,0.08737012987012986
https://porterchester.edu/,Private For Profit,0,0,0,0,1146,36.63,0.08378378378378377
https://potomac.edu/,Private For Profit,0,0,0,0,920,28.67,0.04725965858041329
https://www.provocollege.edu/,Private For Profit,1,0,0,0,2182,26.34,0.05486555697823304
https://www.rvu.edu/,Private For Profit,0,0,0,0,1987,49.45,0.07013116623895069
https://www.south.edu/,Private For Profit,1,1,0,0,10163,38.66,0.07110002247297335
https://www.mi.edu/,Private For Profit,0,0,0,0,1038,51.28,0.11145485466914037
https://www.harvard.edu/,Private Non-Profit,0,0,0,0,760,43.83,0.04774052478134111
https://www.stanford.edu/,Private Non-Profit,0,0,0,0,4482,33.38,0.06655100851529415
https://www.yale.edu/,Private Non-Profit,0,1,0,0,2758,19.5,0.046645021645021656
https://www.syracuse.edu/,Private Non-Profit,1,0,1,0,12777,44.17,0.10730826163760676
https://www.mit.edu/,Private Non-Profit,0,0,1,0,1074,42.0,0.08173234811165847
https://www.princeton.edu/,Private Non-Profit,0,0,1,0,1082,29.69,0.0804871373836891
https://www.uchicago.edu/en,Private Non-Profit,0,0,0,0,2224,38.66,0.08399769787053028
https://www.vanderbilt.edu/,Private Non-Profit,0,1,1,0,872,17.03,0.07530721966205836
https://www.northwestern.edu/,Private Non-Profit,0,0,0,0,2537,38.86,0.06392566782810685
https://www.depaul.edu/Pages/default.aspx,Private Non-Profit,0,0,0,0,485,17.57,0.09681372549019607
https://www.bu.edu/,Private Non-Profit,0,1,0,0,1413,27.15,0.05542016806722689
https://www.jhu.edu/,Private Non-Profit,0,1,0,0,2743,34.19,0.07907444668008053
https://www.caltech.edu/,Private Non-Profit,0,0,0,0,1242,29.38,0.12595153763984931
https://www.emory.edu/home/index.html,Private Non-Profit,0,1,0,0,2231,30.13,0.04683381164965984
https://www.byu.edu/,Private Non-Profit,0,1,0,0,2636,26.14,0.03754366323331841
https://drexel.edu/,Private Non-Profit,0,0,1,0,947,42.72,0.12726190476190477
https://home.dartmouth.edu/,Private Non-Profit,0,0,1,0,1764,33.78,0.08101689976689977
https://tulane.edu/,Private Non-Profit,0,1,0,0,9114,9.08,0.07550047534853041
https://www.stmarys-ca.edu/,Private Non-Profit,0,0,1,0,1481,37.74,0.040546218487394946
https://www.williams.edu/,Private Non-Profit,0,0,0,0,2507,25.32,0.03953956582633053
https://www.chapman.edu/,Private Non-Profit,0,1,1,0,2235,29.48,0.0531801976989143
https://www.creighton.edu/,Private Non-Profit,0,0,0,0,2079,40.08,0.10156641604010025
https://www.tcu.edu/,Private Non-Profit,0,1,1,0,1367,30.3,0.053753807920474586
https://www.gonzaga.edu/,Private Non-Profit,0,0,0,0,2302,38.25,0.03296703296703296
https://www.pepperdine.edu/,Private Non-Profit,1,0,1,0,2704,18.69,0.05446877243359655
https://www.nu.edu/,Private Non-Profit,0,1,1,0,6662,37.23,0.072283218482198
https://calbaptist.edu/,Private Non-Profit,0,0,0,0,517,25.73,0.09842857142857142
https://www.biola.edu/,Private Non-Profit,0,0,1,0,5152,43.02,0.08410409231938977
https://www.cmc.edu/,Private Non-Profit,0,0,0,0,547,41.9,0.07047619047619048
https://www.pomona.edu/,Private Non-Profit,0,0,0,0,430,45.9,0.07169312169312168
https://www.georgetown.edu/,Private Non-Profit,0,1,0,0,995,22.04,0.06785980810234543
https://www.columbiasc.edu/,Private Non-Profit,0,1,0,0,1476,37.34,0.07573345329369426
https://www.american.edu/,Private Non-Profit,0,0,1,0,1884,18.08,0.05056727388942153
https://www.grinnell.edu/,Private Non-Profit,0,0,1,0,4554,27.49,0.027208540572902274
https://www.dom.edu/,Private Non-Profit,0,0,0,0,950,42.92,0.0872764916243177
https://www.sxu.edu/index.html,Private Non-Profit,0,0,0,0,3322,35.0,0.07316813088871914
https://www.canisius.edu/,Private Non-Profit,0,0,0,0,2516,46.51,0.050673244504413344
https://www.holycross.edu/,Private Non-Profit,0,0,1,0,3133,17.1,0.01026085982982536
https://www.upenn.edu/,Private Non-Profit,0,0,0,0,4391,23.39,0.08887497423211714
https://www.hmc.edu/,Private Non-Profit,0,0,0,0,2101,35.71,0.05689711291215052
https://www.rice.edu/,Private Non-Profit,0,1,1,0,3264,28.27,0.08886105188343991
https://washu.edu/,Private Non-Profit,0,0,0,0,1255,39.87,0.11003401360544221
https://www.shc.edu/,Private Non-Profit,0,0,0,0,635,40.79,0.051805813234384664
https://www.fairfield.edu/,Private Non-Profit,0,0,0,0,760,40.48,0.20811588103254774
https://www.lmu.edu/,Private Non-Profit,0,1,1,0,2241,30.2,0.06433333333333331
https://www.loyola.edu/,Private Non-Profit,0,1,0,0,399,25.9,0.12062074829931972
https://www.loyno.edu/,Private Non-Profit,0,0,0,0,125,38.72,-0.024999999999999998
https://www.rockhurst.edu/,Private Non-Profit,0,0,0,0,828,40.99,0.08667428250761586
https://www.usc.edu/,Private Non-Profit,0,0,1,0,2838,36.32,0.12164904654574077
https://www.scrippscollege.edu/,Private Non-Profit,0,0,0,0,353,39.16,0.1021978021978022
https://laverne.edu/,Private Non-Profit,0,1,0,0,4899,12.6,0.04704319312528268
https://uiowa.edu/,Public,0,0,0,0,781,38.25,0.06426091269841268
https://www.iastate.edu/,Public,0,0,1,0,1672,20.52,0.05536891679748821
https://uni.edu/,Public,0,1,0,0,887,31.01,0.09531368102796674
https://umich.edu/,Public,0,0,0,0,1235,43.73,0.11922619047619047
https://www.ufl.edu/,Public,0,0,1,0,3188,29.48,0.07997835497835495
https://www.fau.edu/,Public,0,0,0,0,389,43.43,0.045679012345679025
https://www.fsu.edu/,Public,0,0,0,0,368,41.29,0.0768
https://www.utep.edu/,Public,0,1,0,0,2332,38.42,0.05885902385902389
https://www.utdallas.edu/,Public,0,0,1,0,1396,11.45,0.05773809523809522
https://www.uta.edu/,Public,0,1,1,0,3446,29.38,0.07401735945214215
https://www.berkeley.edu/,Public,1,0,1,0,2032,44.34,0.05819515913855536
https://www.ucla.edu/,Public,0,0,0,0,1526,36.42,0.06733829895594601
https://www.sdsu.edu/,Public,0,1,0,0,3993,36.02,0.04079365079365078
https://www.sjsu.edu/,Public,0,1,0,0,4240,35.51,0.047888938183969255
https://www.calpoly.edu/,Public,0,1,0,0,4299,36.12,0.052126110382991135
https://ucsd.edu/,Public,0,1,1,0,6119,33.99,0.04560155712116495
https://www.csulb.edu/,Public,1,1,0,0,14549,44.78,0.0937713602187287
https://www.ucr.edu/,Public,0,0,1,0,2603,29.59,0.0864794676541664
https://www.sfsu.edu/,Public,0,1,0,0,4979,35.31,0.07300078194057255
https://www.washington.edu/,Public,0,0,1,0,1050,37.13,0.036854381250932974
https://www.seattleu.edu/,Public,0,0,0,0,810,38.96,0.07765780730897014
https://www.uoregon.edu/,Public,0,1,0,0,241,42.61,0.05719696969696969
https://oregonstate.edu/,Public,0,0,0,0,700,35.88,0.15754608294930872
https://www.wisc.edu/,Public,0,0,1,0,3665,16.25,0.05374659863945578
https://www.nmsu.edu/,Public,0,1,0,0,500,26.61,0.09938428688428687
https://nmt.edu/,Public,1,1,0,0,10967,46.0,0.11674602586103405
https://www.asu.edu/,Public,0,1,1,0,5154,35.31,0.06176704766623018
https://nau.edu/,Public,0,1,0,0,1043,33.04,0.06268443997317236
https://www.colorado.edu/,Public,0,0,0,0,781,32.63,0.038796768707483
https://www.colostate.edu/,Public,0,1,1,0,763,33.14,0.07413076341647773
https://www.du.edu/,Public,0,1,1,0,6416,35.31,0.10590189343366908
https://www.mines.edu/,Public,0,1,0,0,1896,36.02,0.05443583298422009
https://www.stonybrook.edu/,Public,0,1,0,0,202,17.07,0.12302083333333334
https://www.unr.edu/,Public,0,0,0,0,386,36.79,0.07021221532091097
https://www.unlv.edu/,Public,0,0,0,0,1792,49.35,0.07595915534846832
https://www.umb.edu/,Public,0,0,1,0,1723,39.16,0.13601130351130358
https://www.gsu.edu/,Public,0,0,1,0,2244,41.5,0.09228436657681939
https://illinois.edu/,Public,0,1,1,0,2427,14.33,0.06667548500881834
https://www.iit.edu/,Public,0,0,1,0,1588,37.84,0.08058166248955723
https://www.wiu.edu/,Public,0,1,0,0,1863,6.78,0.05055011777438251
https://www.ucsc.edu/,Public,0,0,0,0,1021,27.56,0.0577920073753407
https://www.csus.edu/,Public,0,1,0,0,4214,35.31,0.04852216748768475
https://w2.csun.edu/,Public,1,1,0,0,14754,44.98,0.09194554984101451
https://www.calstate.edu/,Public,1,1,0,0,14549,44.78,0.0937713602187287
https://www.sonoma.edu/,Public,1,1,1,0,14641,45.29,0.09331853321424918
https://www.ucmerced.edu/,Public,0,0,0,0,404,-157.42,-0.021929824561403508
https://illinoisstate.edu/,Public,0,0,1,0,1337,23.87,0.07698863636363638
https://www.sandburg.edu/,Public,0,1,0,0,385,43.53,0.0644
https://www.calstatela.edu/,Public,0,1,0,0,4218,35.51,0.04780448004747072
https://www.csub.edu/,Public,1,0,0,0,10263,45.49,0.11805516972629272
